"File","WordCount","HasH1","HasHeader","HasFooter","Flags"
"site\assets\images\README.md","51","False","False","False","thin(<80);no-h1;no-header-ish;no-footer-ish"
"site\diagrams\GALLERY_INSEED.md","443","False","False","False","no-h1;no-header-ish;no-footer-ish"
