"File","Target","Resolved","MatchType"
"site\diagrams\GALLERY_INSEED.md","/diagrams/cosuite-hub.svg","C:\Users\Chris\Documents\GitHub\InSeed\site\diagrams\cosuite-hub.svg","href/src/md"
"site\diagrams\GALLERY_INSEED.md","/diagrams/cosuite-hub.svg","C:\Users\Chris\Documents\GitHub\InSeed\site\diagrams\cosuite-hub.svg","href/src/md"
"site\diagrams\GALLERY_INSEED.md","/diagrams/inseed-funnel.svg","C:\Users\Chris\Documents\GitHub\InSeed\site\diagrams\inseed-funnel.svg","href/src/md"
"site\diagrams\GALLERY_INSEED.md","/diagrams/inseed-funnel.svg","C:\Users\Chris\Documents\GitHub\InSeed\site\diagrams\inseed-funnel.svg","href/src/md"
